<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=170 ttl=55 time=17.722 ms
64 bytes from 8.8.8.8: icmp_seq=171 ttl=55 time=16.655 ms
64 bytes from 8.8.8.8: icmp_seq=172 ttl=55 time=16.562 ms
64 bytes from 8.8.8.8: icmp_seq=173 ttl=55 time=17.192 ms
64 bytes from 8.8.8.8: icmp_seq=174 ttl=55 time=16.934 ms
64 bytes from 8.8.8.8: icmp_seq=175 ttl=55 time=17.954 ms
64 bytes from 8.8.8.8: icmp_seq=176 ttl=55 time=16.972 ms
64 bytes from 8.8.8.8: icmp_seq=177 ttl=55 time=17.681 ms
64 bytes from 8.8.8.8: icmp_seq=178 ttl=55 time=17.641 ms
64 bytes from 8.8.8.8: icmp_seq=179 ttl=55 time=16.751 ms
64 bytes from 8.8.8.8: icmp_seq=180 ttl=55 time=18.520 ms
64 bytes from 8.8.8.8: icmp_seq=181 ttl=55 time=18.647 ms
64 bytes from 8.8.8.8: icmp_seq=182 ttl=55 time=17.758 ms
64 bytes from 8.8.8.8: icmp_seq=183 ttl=55 time=16.979 ms
64 bytes from 8.8.8.8: icmp_seq=184 ttl=55 time=18.553 ms
64 bytes from 8.8.8.8: icmp_seq=185 ttl=55 time=18.187 ms
64 bytes from 8.8.8.8: icmp_seq=186 ttl=55 time=17.157 ms
64 bytes from 8.8.8.8: icmp_seq=187 ttl=55 time=16.806 ms
64 bytes from 8.8.8.8: icmp_seq=188 ttl=55 time=23.952 ms
64 bytes from 8.8.8.8: icmp_seq=189 ttl=55 time=43.921 ms
64 bytes from 8.8.8.8: icmp_seq=190 ttl=55 time=17.809 ms
64 bytes from 8.8.8.8: icmp_seq=191 ttl=55 time=16.819 ms
64 bytes from 8.8.8.8: icmp_seq=192 ttl=55 time=16.964 ms
64 bytes from 8.8.8.8: icmp_seq=193 ttl=55 time=18.548 ms
64 bytes from 8.8.8.8: icmp_seq=194 ttl=55 time=19.193 ms
64 bytes from 8.8.8.8: icmp_seq=195 ttl=55 time=37.210 ms
64 bytes from 8.8.8.8: icmp_seq=196 ttl=55 time=71.493 ms
64 bytes from 8.8.8.8: icmp_seq=197 ttl=55 time=21.536 ms
64 bytes from 8.8.8.8: icmp_seq=198 ttl=55 time=29.009 ms
64 bytes from 8.8.8.8: icmp_seq=199 ttl=55 time=23.935 ms
Request timeout for icmp_seq 200
Request timeout for icmp_seq 201
64 bytes from 8.8.8.8: icmp_seq=202 ttl=55 time=57.885 ms
Request timeout for icmp_seq 203
64 bytes from 8.8.8.8: icmp_seq=204 ttl=55 time=16.892 ms
64 bytes from 8.8.8.8: icmp_seq=205 ttl=55 time=18.047 ms
64 bytes from 8.8.8.8: icmp_seq=206 ttl=55 time=18.047 ms
64 bytes from 8.8.8.8: icmp_seq=207 ttl=55 time=21.174 ms
64 bytes from 8.8.8.8: icmp_seq=208 ttl=55 time=19.777 ms
64 bytes from 8.8.8.8: icmp_seq=209 ttl=55 time=18.233 ms
64 bytes from 8.8.8.8: icmp_seq=210 ttl=55 time=17.674 ms
64 bytes from 8.8.8.8: icmp_seq=211 ttl=55 time=17.825 ms
64 bytes from 8.8.8.8: icmp_seq=212 ttl=55 time=16.567 ms
64 bytes from 8.8.8.8: icmp_seq=213 ttl=55 time=18.573 ms
64 bytes from 8.8.8.8: icmp_seq=214 ttl=55 time=19.814 ms
64 bytes from 8.8.8.8: icmp_seq=215 ttl=55 time=24.833 ms
Request timeout for icmp_seq 216
Request timeout for icmp_seq 217
64 bytes from 8.8.8.8: icmp_seq=218 ttl=55 time=20.937 ms
64 bytes from 8.8.8.8: icmp_seq=219 ttl=55 time=17.691 ms
64 bytes from 8.8.8.8: icmp_seq=220 ttl=55 time=17.790 ms
64 bytes from 8.8.8.8: icmp_seq=221 ttl=55 time=21.954 ms
64 bytes from 8.8.8.8: icmp_seq=222 ttl=55 time=16.694 ms
64 bytes from 8.8.8.8: icmp_seq=223 ttl=55 time=17.954 ms
64 bytes from 8.8.8.8: icmp_seq=224 ttl=55 time=16.641 ms
64 bytes from 8.8.8.8: icmp_seq=225 ttl=55 time=17.595 ms
64 bytes from 8.8.8.8: icmp_seq=226 ttl=55 time=23.478 ms
64 bytes from 8.8.8.8: icmp_seq=227 ttl=55 time=19.884 ms
64 bytes from 8.8.8.8: icmp_seq=228 ttl=55 time=19.269 ms
64 bytes from 8.8.8.8: icmp_seq=229 ttl=55 time=17.753 ms
64 bytes from 8.8.8.8: icmp_seq=230 ttl=55 time=16.654 ms
64 bytes from 8.8.8.8: icmp_seq=231 ttl=55 time=17.878 ms
64 bytes from 8.8.8.8: icmp_seq=232 ttl=55 time=20.742 ms
64 bytes from 8.8.8.8: icmp_seq=233 ttl=55 time=17.686 ms
64 bytes from 8.8.8.8: icmp_seq=234 ttl=55 time=19.549 ms
64 bytes from 8.8.8.8: icmp_seq=235 ttl=55 time=16.939 ms
64 bytes from 8.8.8.8: icmp_seq=236 ttl=55 time=18.498 ms
64 bytes from 8.8.8.8: icmp_seq=237 ttl=55 time=16.608 ms
64 bytes from 8.8.8.8: icmp_seq=238 ttl=55 time=17.504 ms
64 bytes from 8.8.8.8: icmp_seq=239 ttl=55 time=23.905 ms
64 bytes from 8.8.8.8: icmp_seq=240 ttl=55 time=18.003 ms
64 bytes from 8.8.8.8: icmp_seq=241 ttl=55 time=17.689 ms
64 bytes from 8.8.8.8: icmp_seq=242 ttl=55 time=17.657 ms
64 bytes from 8.8.8.8: icmp_seq=243 ttl=55 time=16.819 ms
64 bytes from 8.8.8.8: icmp_seq=244 ttl=55 time=17.049 ms
64 bytes from 8.8.8.8: icmp_seq=245 ttl=55 time=17.735 ms
64 bytes from 8.8.8.8: icmp_seq=246 ttl=55 time=16.908 ms
64 bytes from 8.8.8.8: icmp_seq=247 ttl=55 time=16.976 ms
64 bytes from 8.8.8.8: icmp_seq=248 ttl=55 time=18.024 ms
64 bytes from 8.8.8.8: icmp_seq=249 ttl=55 time=22.848 ms
64 bytes from 8.8.8.8: icmp_seq=250 ttl=55 time=22.089 ms
64 bytes from 8.8.8.8: icmp_seq=251 ttl=55 time=17.945 ms
64 bytes from 8.8.8.8: icmp_seq=252 ttl=55 time=17.933 ms
64 bytes from 8.8.8.8: icmp_seq=253 ttl=55 time=17.800 ms
64 bytes from 8.8.8.8: icmp_seq=254 ttl=55 time=19.057 ms
64 bytes from 8.8.8.8: icmp_seq=255 ttl=55 time=18.308 ms
64 bytes from 8.8.8.8: icmp_seq=256 ttl=55 time=29.518 ms
64 bytes from 8.8.8.8: icmp_seq=257 ttl=55 time=16.561 ms
64 bytes from 8.8.8.8: icmp_seq=258 ttl=55 time=18.884 ms
64 bytes from 8.8.8.8: icmp_seq=259 ttl=55 time=17.888 ms
64 bytes from 8.8.8.8: icmp_seq=260 ttl=55 time=17.609 ms
64 bytes from 8.8.8.8: icmp_seq=261 ttl=55 time=18.582 ms
64 bytes from 8.8.8.8: icmp_seq=262 ttl=55 time=17.798 ms
64 bytes from 8.8.8.8: icmp_seq=263 ttl=55 time=17.972 ms
64 bytes from 8.8.8.8: icmp_seq=264 ttl=55 time=20.901 ms
64 bytes from 8.8.8.8: icmp_seq=265 ttl=55 time=18.231 ms
